T_K_vs_P_Pa__cp_J_kg_K,1723689.323292,1792636.89622368,1861584.46915536,1930532.04208704,1999479.61501872,2068427.1879504,2137374.76088208,2206322.33381376,2275269.90674544,2344217.47967712,2413165.0526088,2482112.62554048,2551060.19847216,2620007.77140384,2688955.34433552,2757902.9172672,2826850.49019888,2895798.06313056,2964745.63606224,3033693.20899392,3102640.7819256,3171588.35485728,3240535.92778896,3309483.50072064,3378431.07365232,3447378.646584
270,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2290,2289.66306791006,2288.97359218074,2288.28411645143,2287.59464072211,2286.90516499279,2286.21568926348,2285.52621353416
272,2306,2306,2306,2306,2306,2305.7262912482,2305.45050095647,2305.17471066474,2304.89892037302,2304.62313008129,2304.34733978956,2304.07154949784,2303.79575920611,2303.51996891438,2303.24417862266,2302.96838833093,2302.6925980392,2302.41680774748,2302.14101745575,2301.79784074604,2301.38415530845,2300.97046987086,2300.55678443327,2300.14309899568,2299.72941355809,2299.3157281205
274,2322,2322,2322,2322,2322,2321.4525824964,2320.90100191294,2320.34942132949,2319.79784074604,2319.24626016258,2318.69467957913,2318.14309899568,2317.59151841222,2317.03993782877,2316.48835724532,2315.93677666186,2315.38519607841,2314.83361549496,2314.2820349115,2313.93261358201,2313.79471843615,2313.65682329029,2313.51892814442,2313.38103299856,2313.24313785269,2313.10524270683
276,2338,2338,2338,2338,2338,2337.4525824964,2336.90100191294,2336.34942132949,2335.79784074604,2335.24626016258,2334.69467957913,2334.14309899568,2333.59151841222,2333.03993782877,2332.48835724532,2331.93677666186,2331.38519607841,2330.83361549496,2330.2820349115,2330,2330,2330,2330,2330,2330,2330
278,2354,2354,2354,2354,2354,2353.7262912482,2353.45050095647,2353.17471066474,2352.89892037302,2352.62313008129,2352.34733978956,2352.07154949784,2351.79575920611,2351.51996891438,2351.24417862266,2350.96838833093,2350.6925980392,2350.41680774748,2350.14101745575,2350,2350,2350,2350,2350,2350,2350
280,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370
282,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
284,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410
286,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432
