T_K,P_Pa,k_W_m_K
270,1723689.323292,0.142308556549629
270,1792636.89622368,0.142337393985538
270,1861584.46915536,0.142366231421447
270,1930532.04208704,0.142395068857356
270,1999479.61501872,0.142423906293265
270,2068427.1879504,0.142452743729174
270,2137374.76088208,0.142481581165083
270,2206322.33381376,0.142510418600992
270,2275269.90674544,0.142539256036901
270,2344217.47967712,0.14256809347281
270,2413165.0526088,0.142596930908718
270,2482112.62554048,0.142625768344627
270,2551060.19847216,0.142654605780536
270,2620007.77140384,0.142683443216445
270,2688955.34433552,0.142712280652354
270,2757902.9172672,0.142741118088263
270,2826850.49019888,0.142769955524172
270,2895798.06313056,0.142798792960081
270,2964745.63606224,0.14282763039599
270,3033693.20899392,0.142856467831899
270,3102640.7819256,0.142885305267808
270,3171588.35485728,0.142914142703716
270,3240535.92778896,0.142942980139625
270,3309483.50072064,0.142971817575534
270,3378431.07365232,0.143000655011443
270,3447378.646584,0.143029492447352
272,1723689.323292,0.141906640129239
272,1792636.89622368,0.14193539612072
272,1861584.46915536,0.141964152112201
272,1930532.04208704,0.141992908103681
272,1999479.61501872,0.142021664095162
272,2068427.1879504,0.142050420086643
272,2137374.76088208,0.142079176078124
272,2206322.33381376,0.142107932069604
272,2275269.90674544,0.142136688061085
272,2344217.47967712,0.142165444052566
272,2413165.0526088,0.142194200044047
272,2482112.62554048,0.142222956035527
272,2551060.19847216,0.142251712027008
272,2620007.77140384,0.142280468018489
272,2688955.34433552,0.142309224009969
272,2757902.9172672,0.14233798000145
272,2826850.49019888,0.142366735992931
272,2895798.06313056,0.142395491984412
272,2964745.63606224,0.142424247975892
272,3033693.20899392,0.142453003967373
272,3102640.7819256,0.142481759958854
272,3171588.35485728,0.142510515950335
272,3240535.92778896,0.142539271941815
272,3309483.50072064,0.142568027933296
272,3378431.07365232,0.142596783924777
272,3447378.646584,0.142625539916257
274,1723689.323292,0.141504723708849
274,1792636.89622368,0.141533398255902
274,1861584.46915536,0.141562072802954
274,1930532.04208704,0.141590747350007
274,1999479.61501872,0.141619421897059
274,2068427.1879504,0.141648096444112
274,2137374.76088208,0.141676770991164
274,2206322.33381376,0.141705445538217
274,2275269.90674544,0.141734120085269
274,2344217.47967712,0.141762794632322
274,2413165.0526088,0.141791469179375
274,2482112.62554048,0.141820143726427
274,2551060.19847216,0.14184881827348
274,2620007.77140384,0.141877492820532
274,2688955.34433552,0.141906167367585
274,2757902.9172672,0.141934841914637
274,2826850.49019888,0.14196351646169
274,2895798.06313056,0.141992191008742
274,2964745.63606224,0.142020865555795
274,3033693.20899392,0.142049540102847
274,3102640.7819256,0.1420782146499
274,3171588.35485728,0.142106889196953
274,3240535.92778896,0.142135563744005
274,3309483.50072064,0.142164238291058
274,3378431.07365232,0.14219291283811
274,3447378.646584,0.142221587385163
276,1723689.323292,0.141102807288459
276,1792636.89622368,0.141131400391083
276,1861584.46915536,0.141159993493708
276,1930532.04208704,0.141188586596332
276,1999479.61501872,0.141217179698956
276,2068427.1879504,0.141245772801581
276,2137374.76088208,0.141274365904205
276,2206322.33381376,0.14130295900683
276,2275269.90674544,0.141331552109454
276,2344217.47967712,0.141360145212078
276,2413165.0526088,0.141388738314703
276,2482112.62554048,0.141417331417327
276,2551060.19847216,0.141445924519951
276,2620007.77140384,0.141474517622576
276,2688955.34433552,0.1415031107252
276,2757902.9172672,0.141531703827824
276,2826850.49019888,0.141560296930449
276,2895798.06313056,0.141588890033073
276,2964745.63606224,0.141617483135698
276,3033693.20899392,0.141646076238322
276,3102640.7819256,0.141674669340946
276,3171588.35485728,0.141703262443571
276,3240535.92778896,0.141731855546195
276,3309483.50072064,0.141760448648819
276,3378431.07365232,0.141789041751444
276,3447378.646584,0.141817634854068
278,1723689.323292,0.140700890868069
278,1792636.89622368,0.140729402526265
278,1861584.46915536,0.140757914184461
278,1930532.04208704,0.140786425842657
278,1999479.61501872,0.140814937500854
278,2068427.1879504,0.14084344915905
278,2137374.76088208,0.140871960817246
278,2206322.33381376,0.140900472475442
278,2275269.90674544,0.140928984133638
278,2344217.47967712,0.140957495791835
278,2413165.0526088,0.140986007450031
278,2482112.62554048,0.141014519108227
278,2551060.19847216,0.141043030766423
278,2620007.77140384,0.141071542424619
278,2688955.34433552,0.141100054082815
278,2757902.9172672,0.141128565741012
278,2826850.49019888,0.141157077399208
278,2895798.06313056,0.141185589057404
278,2964745.63606224,0.1412141007156
278,3033693.20899392,0.141242612373796
278,3102640.7819256,0.141271124031992
278,3171588.35485728,0.141299635690189
278,3240535.92778896,0.141328147348385
278,3309483.50072064,0.141356659006581
278,3378431.07365232,0.141385170664777
