T_K,P_Pa,mu_Pa_s
270,1723689.323292,0.00504457236054727
270,1792636.89622368,0.0050464708615682
270,1861584.46915536,0.00504837007708102
270,1930532.04208704,0.00505027000735466
270,1999479.61501872,0.00505217065265809
270,2068427.1879504,0.00505407201326042
270,2137374.76088208,0.00505597408943085
270,2206322.33381376,0.00505787688143867
270,2275269.90674544,0.00505978038955329
270,2344217.47967712,0.00506168461404422
270,2413165.0526088,0.00506358955518106
270,2482112.62554048,0.00506549521323351
270,2551060.19847216,0.00506740158847138
270,2620007.77140384,0.00506930868116458
270,2688955.34433552,0.00507121649158313
270,2757902.9172672,0.00507312501999713
270,2826850.49019888,0.0050750342666768
270,2895798.06313056,0.00507694423189245
270,2964745.63606224,0.00507885491591451
270,3033693.20899392,0.00508076631901349
270,3102640.7819256,0.00508267844146002
270,3171588.35485728,0.00508459128352481
270,3240535.92778896,0.00508650484547869
270,3309483.50072064,0.00508841912759259
270,3378431.07365232,0.00509033413013753
270,3447378.646584,0.00509224985338466
272,1723689.323292,0.00472423862891681
272,1792636.89622368,0.00472601657384832
272,1861584.46915536,0.00472779518790102
272,1930532.04208704,0.00472957447132674
272,1999479.61501872,0.00473135442437738
272,2068427.1879504,0.00473313504730496
272,2137374.76088208,0.00473491634036158
272,2206322.33381376,0.00473669830379945
272,2275269.90674544,0.00473848093787085
272,2344217.47967712,0.00474026424282818
272,2413165.0526088,0.00474204821892392
272,2482112.62554048,0.00474383286641065
272,2551060.19847216,0.00474561818554105
272,2620007.77140384,0.00474740417656789
272,2688955.34433552,0.00474919083974402
272,2757902.9172672,0.00475097817532242
272,2826850.49019888,0.00475276618355614
272,2895798.06313056,0.00475455486469832
272,2964745.63606224,0.00475634421900221
272,3033693.20899392,0.00475813424672117
272,3102640.7819256,0.00475992494810861
272,3171588.35485728,0.00476171632341807
272,3240535.92778896,0.00476350837290319
272,3309483.50072064,0.00476530109681768
272,3378431.07365232,0.00476709449541536
272,3447378.646584,0.00476888856895015
274,1723689.323292,0.00442535513886746
274,1792636.89622368,0.00442702060040683
274,1861584.46915536,0.0044286866887348
274,1930532.04208704,0.00443035340408726
274,1999479.61501872,0.00443202074670018
274,2068427.1879504,0.00443368871680964
274,2137374.76088208,0.00443535731465177
274,2206322.33381376,0.00443702654046284
274,2275269.90674544,0.00443869639447917
274,2344217.47967712,0.00444036687693719
274,2413165.0526088,0.0044420379880734
274,2482112.62554048,0.00444370972812441
274,2551060.19847216,0.0044453820973269
274,2620007.77140384,0.00444705509591766
274,2688955.34433552,0.00444872872413354
274,2757902.9172672,0.00445040298221152
274,2826850.49019888,0.00445207787038862
274,2895798.06313056,0.004453753388902
274,2964745.63606224,0.00445542953798887
274,3033693.20899392,0.00445710631788654
274,3102640.7819256,0.00445878372883242
274,3171588.35485728,0.004460461771064
274,3240535.92778896,0.00446214044481886
274,3309483.50072064,0.00446381975033467
274,3378431.07365232,0.0044654996878492
274,3447378.646584,0.00446718025760029
276,1723689.323292,0.00414823201607259
276,1792636.89622368,0.00414979318363144
276,1861584.46915536,0.00415135493872833
276,1930532.04208704,0.00415291728158439
276,1999479.61501872,0.00415448021242082
276,2068427.1879504,0.0041560437314589
276,2137374.76088208,0.00415760783892
276,2206322.33381376,0.00415917253502556
276,2275269.90674544,0.00416073781999713
