Time,QuatW,QuatX,QuatY,QuatZ,PosX,PosY,PosZ,VelX,VelY,VelZ,AngRateX,AngRateY,AngRateZ,MassLox,MassFuel,GimbalTheta,GimbalPhi,Thrust,RollCmd
0,1,-4.87848926727815e-16,3.48851352200439e-15,-2.06024979602126e-16,2.43854410567153e-17,2.47492220772246e-18,-1.02787221540027e-17,1.43919951521469e-16,2.51257293107487e-17,-1.16040209946346e-17,-1.12076756062289e-16,7.74654992497e-16,-9.66586569860251e-17,20.78,19.79,-0.00386851010422763,-0.000406111126546264,2041.20574125555,0.0129251465928639
0.126964808396594,0.999999974382448,0.000225100276452343,2.36319476792507e-05,2.54935433356352e-06,-3.59901277958052e-05,0.000342832114113847,0.0113739208017107,-0.000555789353454355,0.00529425949355597,0.179349250857249,0.00709173981808152,0.000744509693617807,8.03178583998155e-05,20.7100646275067,19.7200646275067,-0.00241174821737663,-0.000119223829170431,2039.72859604291,0.0107501551645895
0.253929616793189,0.999999664375665,0.000815534443588329,7.78252106771797e-05,9.76572430272439e-06,-0.000110004154994036,0.00116094416187817,0.0455234454389779,-0.000584395943561446,0.00731298378371813,0.358770349944811,0.0115097688433492,0.000962824564175566,0.000147125335502098,20.6401798646597,19.6501798646597,-0.00116090367905795,0.00011164976521211,2037.42554253167,0.00857484864064731
0.380894425189783,0.999998689113281,0.00161362812290376,0.000132455069439773,2.07766336275937e-05,-0.000156566153166266,0.00200091368844551,0.102420549244145,-0.000123083462319483,0.00553966487370321,0.537677131656638,0.0136340144437323,0.000758305253482388,0.000200418243916492,20.5703740085598,19.5803740085598,-0.000112620308599123,0.000287415744219025,2034.59265486397,0.00639933860650608
0.507859233586377,0.999996896657856,0.00248567994865345,0.000163909472204495,3.46924659831756e-05,-0.000119920163661415,0.0023707378000442,0.181975632269029,0.000715390208198822,-0.0001282549356077,0.715686424896531,0.0138398142439865,0.000232802479269876,0.000240193220874624,20.5006652122761,19.5106652122761,0.000737401210563716,0.000409084090383921,2031.29826915586,0.00422367849690716
0.634824041982972,0.999994470299173,0.00332156468782995,0.00015497743053029,5.0607857124283e-05,3.75879812208797e-05,0.00178789657496881,0.284053473774796,0.00176168567799825,-0.00945006876608586,0.892463308725737,0.0124945741862479,-0.000513843653584377,0.000266447320695009,20.43106928756,19.44106928756,0.00139378401365168,0.00047767908728914,2027.48623187266,0.00204787926036595
0.761788850379566,0.99999185583195,0.00403419480917111,9.4716871248387e-05,6.76078278887346e-05,0.000329495006195961,-0.000181377665774851,0.408474024302659,0.00280822613603135,-0.0219095248439703,1.06763688780642,0.00995665512249521,-0.00138395895711586,0.000279177714088742,20.3616039700834,19.3716039700834,0.00186131923619447,0.000494243098988939,2023.05622535047,-0.000128075657860397
0.88875365877616,0.999989604203565,0.00455892832381662,-2.16869348965515e-05,8.47769669854637e-05,0.000741512929942734,-0.00389131641797662,0.55500595729868,0.00362721001756601,-0.0367807427730185,1.24077042304846,0.00657481199262196,-0.00228218064100145,0.000278381490223704,20.2922904325818,19.3022904325818,0.00214503283957294,0.000459876569438106,2017.92266527927,-0.00230421573483344
1.01571846717275,0.999988200692452,0.00485293254094679,-0.000193075907395163,0.000101210014009096,0.00123009211883328,-0.00959413956578039,0.723358940164625,0.00398834989506505,-0.0531931525723954,1.41137105174839,0.00268738405206789,-0.00311572185310998,0.000264055558608108,20.2231527800625,19.2331527800625,0.00225030605544298,0.000375775651062094,2012.05368923099,-0.00448056904294707
1.14268327556935,0.999987930142368,0.00489448233667416,-0.000412493925082925,0.000116022244247234,0.00172321072464616,-0.0174257671549313,0.913178794035368,0.00367618421823293,-0.0701954691155679,1.57892563700113,-0.00137895199531542,-0.00379474512903068,0.000236196648520818,20.1542162091969,19.1642162091969,0.00218294321099456,0.000243245069159923,2005.49175005743,-0.00665714853950345
