Time,QuatW,QuatX,QuatY,QuatZ,PosX,PosY,PosZ,VelX,VelY,VelZ,AngRateX,AngRateY,AngRateZ,MassLox,MassFuel,GimbalTheta,GimbalPhi,ThrustMag,RollCmd
0,1,1.36783579434567e-26,-1.28397779125685e-13,4.06822467836473e-28,5.31612033499476e-15,-2.84905563740878e-28,1.49259471813919e-13,-1.1715904206546e-14,-1.33145192331806e-27,-4.67040197085205e-09,1.09701794029728e-27,-1.28764827406847e-14,8.6773422512232e-30,0,0,1.66436237226508e-18,-0.00180134550823222,15.4335493508431,-2.01539376285495e-19
0.0796821761393119,0.999999985337148,-1.58217380587362e-19,0.000171247216056097,-1.59950748278286e-20,-6.70285289853206e-05,-6.1931821734703e-20,0.00731203707477116,-0.001627339642059,-1.50357746785794e-18,0.183530140150982,-7.94249125237274e-18,0.00859651311663361,-8.02948617224983e-19,0,0,7.98218662420704e-19,-0.000878980557998142,15.4335477346007,1.2051142306155e-18
0.159364352278624,0.999999821615084,-5.50523783484635e-19,0.000597303053265094,4.76589786614428e-20,-0.000207469954561572,-1.91175590388607e-19,0.0292482078717523,-0.00176071908814473,-1.61426485072481e-18,0.367061525467702,-1.17520181542926e-17,0.0127912498721586,3.99835537327013e-18,0,0,2.42509507535196e-19,-0.000284169836537611,15.4335460291767,1.6412357392056e-19
0.239046528417936,0.999999357097775,-1.04165179306441e-18,0.00113393513301807,2.1998137571418e-19,-0.000299379861262112,-2.74520609562234e-19,0.0658085251211921,-0.000373660989059472,-3.19697547954176e-19,0.550591799640533,-1.29061323700396e-17,0.0141473864215066,4.65224151700582e-18,0,0,-9.04960578482289e-20,7.42914712365975e-05,15.4335442256871,-1.41273451030352e-18
0.318728704557248,0.999998571077167,-1.5472613175906e-18,0.0016905192201961,2.93202462870624e-19,-0.00022480004786436,-2.0337068809281e-19,0.116992818119362,0.00242453994757844,2.26819579886255e-18,0.734118896079325,-1.24729379695127e-17,0.0137928471367684,-9.76245308650828e-19,0,0,-2.67973271282142e-19,0.000269273892045784,15.4335423149379,9.02097744505015e-20
0.39841088069656,0.999997548132272,-2.01893884397869e-18,0.00221444138013089,2.61453578168588e-19,0.000122416555921569,1.19033351557993e-19,0.182800777908955,0.00645894333817203,5.97574694653218e-18,0.917641500156898,-1.11946521413982e-17,0.012507798426958,-6.16839509860491e-19,0,0,-3.44949061677654e-19,0.000356190024648034,15.433540286897,1.39499153287063e-18
0.478093056835872,0.999996411750372,-2.43203642339243e-18,0.00267890262241992,3.47569195606197e-19,0.000833291928550178,7.74679788217548e-19,0.263232021094058,0.0115331540613862,1.06137552254027e-17,1.10115907710474,-9.54650274994301e-18,0.0108079623853273,4.94095777443295e-18,0,0,-3.58549664339889e-19,0.000375503145476245,15.4335381303844,-1.53003384541372e-18
0.557775232975184,0.999995275875404,-2.77822195105314e-18,0.00307380428439906,4.22957080893522e-19,0.00198317128575579,1.83049769235643e-18,0.358286146336865,0.0174554543844636,1.59984302128369e-17,1.28467169433032,-7.8349871612313e-18,0.0090159591139814,-1.15486187942945e-18,0,0,-3.35939257751683e-19,0.00035547793819453,15.4335358328012,1.0311370846765e-18
0.637457409114496,0.999994222684349,-3.05844602025167e-18,0.00339921424347202,4.58740003496521e-19,0.00363272830023112,3.33942384744371e-18,0.467962773845077,0.0240525791242938,2.19654024923076e-17,1.46817979641106,-6.23097732111211e-18,0.00731952183423371,2.95330017800628e-18,0,0,-2.95737099838744e-19,0.000314771788359449,15.4335333798531,8.10294070391778e-20
0.717139585253808,0.999993298897255,-3.27825116656915e-18,0.0036609061558189,5.82780853854781e-19,0.00582972161949892,5.34223442218455e-18,0.592261567674886,0.0311754644092724,2.83754787407894e-17,1.65168401180622,-4.81846585608542e-18,0.00581734559075837,3.2761305920486e-18,0,0,-2.49333865882024e-19,0.000264672737851512,15.4335307552402,2.30101467646665e-19
0.79682176139312,0.999992521188485,-3.44606948532921e-18,0.00386751263172565,7.31505418791878e-19,0.00861099668934345,7.86958314771593e-18,0.731182244690299,0.0387001749577306,3.51144923022032e-17,1.83518501617073,-3.62742555438579e-18,0.00455425579654456,4.19288054627077e-18,0,0,-2.03580230079694e-19,0.000210919879911713,15.4335279402916,-1.24096724970268e-18
0.876503937532431,0.999991883973251,-3.57108650718515e-18,0.00402890652652349,7.99991918688483e-19,0.0120044463056213,1.0943943508952e-17,0.884724574717197,0.0465263357679487,4.20914554159131e-17,2.0186834484031,-2.65578200893276e-18,0.00354768933839438,-7.51266324805657e-19,0,0,-1.61431034376923e-19,0.000155120030821277,15.4335249135203,1.07314574849265e-18
0.956186113671743,0.999991365918497,-3.66141616839425e-18,0.00415550259903138,8.55143794641625e-19,0.0160308015404682,1.45813174761456e-17,1.05288837556802,0.0545747387876002,4.92348071461396e-17,2.20217986418785,-1.88495793623133e-18,0.00280741492659718,3.52426346018738e-18,0,0,-1.23725236451064e-19,9.58215228532513e-05,15.4335216500762,-5.06093630767125e-19
